"Name","n_poste","Level","Section","Role","status","year","institutions","ID","X","X.1","Id.author.no"
"Aurélien SIRI",4198,"MCF","1",NA,"externe",2017," Centre universitaire de formation et recherche de Mayotte","157845605",NA,NA,NA
"B Debu",19,NA,NA,NA,"interne",2020,"Université Grenoble Alpes",NA,NA,NA,"056960425"
"B Degott",4543,NA,NA,NA,"interne",2020,"INSPE Académie de Besançon",NA,NA,NA,"028609956"
"B Louichon",4543,NA,NA,NA,"externe",2020,NA,NA,NA,NA,"071567895"
"B Louichon",4543,NA,NA,NA,"externe",2020,NA,NA,NA,NA,"071567895"
"B Louichon",260,NA,NA,NA,"interne",2018,NA,NA,NA,NA,"071567895"
"B Louichon",260,NA,NA,NA,"interne",2018,NA,NA,NA,NA,"071567895"
"B Pagnani",4591,"MCF","70",NA,"interne",2019,NA,NA,NA,NA,"083924949"
"BABY COLLIN Virginie ",904,NA,NA,NA,"interne",2020,"INSPE Université Aix-Marseille","69558132",NA,NA,NA
"BACHTOLD Manuel",322,"MCF","28",NA,"interne",2019,NA,"95204814",NA,NA,NA
"BAEYENS Céline",43,"PR ",NA,NA,"interne",2020,"Université Grenoble Alpes","194112624",NA,NA,NA
"BAILLEUL Michaël",75,NA,NA,NA,"externe",2018,NA,"158774515",NA,NA,NA
"BAILLEUL Michaël",75,NA,NA,NA,"externe",2018,NA,"158774515",NA,NA,NA
"BALIGAND Zdenka",4329," MCF ",NA,NA,"interne",2018,NA,"74558889",NA,NA,NA
"Barbara Fontar",4313,"MCF ",NA,NA,"interne",2018,NA,"123981905",NA,NA,NA
"Barbara Fontar",4337,NA,NA,NA,"interne",2019,NA,"123981905",NA,NA,NA
"BARBIER Pascal",4065,"MCF","19",NA,"externe",2018,NA,"168255057",NA,NA,NA
"BARRY Valérie",4551,"MCF","70",NA,"interne",2018,NA,"145037703",NA,NA,NA
"BARRY Valérie",4551,"MCF","70",NA,"interne",2018,NA,"145037703",NA,NA,NA
"Bart",878,NA,NA,NA,"externe",2020,NA,"130566993",NA,NA,NA
"Bart",879,NA,NA,NA,"externe",2020,NA,"130566993",NA,NA,NA
"BAUDOT Pierre-Yves",4065,"PU","4",NA,"externe",2018,NA,"98130765",NA,NA,NA
"Béatrice Bourdin",4460,"PR","16",NA,"interne",2019,NA,"55387500",NA,NA,NA
"Béatrice Drot-Delangé",4529,"PU","70",NA,"externe",2020,NA,"135676878",NA,NA,NA
"Béatrice MABILON BONFILS",4286,"PR","70",NA,"interne",2017,NA,"35094478",NA,NA,NA
"Béatrice MABILON BONFILS",4284,"PR","19",NA,"interne",2017,NA,"35094478",NA,NA,NA
"Béatrice MABILON BONFILS",4285,"PR","19","pdt","interne",2017,NA,"35094478",NA,NA,NA
"Béatrice MABILON BONFILS",4404,"PU","70",NA,"externe",2017," Cergy-Pontoise ","35094478",NA,NA,NA
"Béatrice MADIOT",4409,"MCF","16",NA,"interne",2017,NA,"127921575",NA,NA,NA
"Béatrice Savarieau",4446,NA,NA,NA,"externe",2020,NA,"198308671",NA,NA,NA
"Béatrice Savarieau",4467,"MCF                                                                                                                                                                                                                                                                                                                                                               ","70",NA,"externe",2020,NA,"198308671",NA,NA,NA
"Béatrice SAVARIEAU",909,"MCF","70",NA,"externe",2017," Rouen","198308671",NA,NA,NA
"BEN AYED Choukri",4336,"PR","70"," v_pdt ","interne",2020,"Université de Limoges","59195975",NA,NA,NA
"Benjamin Denecheau",4729,"MCF ",NA,NA,"interne",2020,"INSPE Académie de Créteil","175263868",NA,NA,NA
"Benjamin Denecheau",4559,"MCF","19",NA,"interne",2018,NA,"175263868",NA,NA,NA
"Benoit DEJAIFFE",4516,"MCF","70",NA,"externe",2019," Université de Lorraine ",NA,NA,NA,NA
"Benoît DOMPNIER",193,NA,NA,"mtr","externe",2017," Lausanne ","118821962",NA,NA,NA
"Benoît DOMPNIER",197,NA,NA,"mtr","externe",2017," Lausanne ","118821962",NA,NA,NA
"Benoit GRASSER",749,NA,NA,NA,"externe",2019,NA,"156717700",NA,NA,NA
"Benoît SCHNEIDER",909,"PR","16",NA,"interne",2017,NA,"52207757",NA,NA,NA
"Benoit URGELLI",643,"MCF","70",NA,"externe",2018," Lyon ","142295663",NA,NA,NA
"Benoit URGELLI",340,"MCF","70",NA,"externe",2019," Université de Lyon 2 ","142295663",NA,NA,NA
"Benoit URGELLI",4343," MCF ",NA,NA,"interne",2018,"ECP","142295663",NA,NA,NA
"BERGOUNIOUX Gabriel",4367,"PR","7",NA,"externe",2018," Orléans ","32970048",NA,NA,NA
"Bernadette Tillard",24,NA,NA,NA,"interne",2017,NA,"70444013",NA,NA,NA
"Bernadette Tillard",4374,NA,NA,NA,"externe",2019,NA,"70444013",NA,NA,NA
"Bernard Andrieu",4265,"PU",NA,NA,"interne",2017,NA,"32102518",NA,NA,NA
"Bernard Buron",4348,NA,"19",NA,"interne",2017,"Tours ","3086352X",NA,NA,NA
"Bernard CALMETTES",4413,"MCF",NA,NA,"externe",2017," Toulouse 2 ","35503939",NA,NA,NA
